WKT,ID,NOMBRE,CALLE1,CALLE2,INTERSEC,LIN_SENT_N,LIN_SENT_S,METROBUS,NOM_SENTID,Observac,INAUGURA,FECH_INAU
"POINT (-58.4106713368542 -34.6339696721209)","49",Sánchez de Loria,CHICLANA AV,,Entre 24 de Noviembre y Sánchez de Loria,,"143",Metrobus Sur - Ramal Fernández de la Cruz,Sánchez de Loria - Sentido Gral Paz,,Agosto 2013,2013-08
"POINT (-58.4149985490086 -34.636740954319)","50",Boedo,CHICLANA AV,,Entre Álzaga y Boedo,,101 - 143,Metrobus Sur - Ramal Fernández de la Cruz,Boedo - Sentido Gral Paz,,Agosto 2013,2013-08
"POINT (-58.4189046619207 -34.6397227720488)","51",Caseros,FERNANDEZ DE LA CRUZ AV,,Entre Caseros y Trole,23 - 101 - 143,,Metrobus Sur - Ramal Fernández de la Cruz,Caseros - Sentido Constitución,,Agosto 2013,2013-08
"POINT (-58.4279752987995 -34.6475605053147)","53",Del Barco Centenera,FERNANDEZ DE LA CRUZ AV,,Entre Lanza y Del Barco Centenera,101 - 143,101 - 143 - 150,Metrobus Sur - Ramal Fernández de la Cruz,Del Barco Centenera,,Agosto 2013,2013-08
"POINT (-58.4618089710669 -34.7045196955955)","66",Puente La Noria,GRAL. PAZ AV.,27 DE FEBRERO AV,GRAL. PAZ AV & 27 DE FEBRERO AV,,,Metrobus Sur,Puente La Noria,,Agosto 2013,2013-08
"POINT (-58.4663748210599 -34.694684542896)","69",Piedrabuena,ROCA CNEL AV,,Entre Piedrabuena y Guaminí,91 - 101 - 114 - 117,91 - 114 - 117,Metrobus Sur - Ramal Coronel Roca,Piedrabuena,,Agosto 2013,2013-08
"POINT (-58.4632925415865 -34.6918763323307)","70",Lisandro de la Torre,ROCA CNEL AV,,Entre Lisandro de la Torre y Timoteo Gordillo,47 - 91 - 114 - 117 -150,47 - 91 - 114 - 117,Metrobus Sur - Ramal Coronel Roca,Lisandro de la Torre,,Agosto 2013,2013-08
"POINT (-58.4513367423519 -34.6809899399233)","72",Escalada,ROCA CNEL AV,,Entre Escalada y Pasaje Roca,91 - 115,91 - 115,Metrobus Sur - Ramal Coronel Roca,Escalada,,Agosto 2013,2013-08
"POINT (-58.4486518954874 -34.6771783843168)","73",Estadio Parque Roca,ROCA CNEL AV,,Entre Escalada y Lacarra,91 - 115,91 - 115,Metrobus Sur - Ramal Coronel Roca,Estadio Parque Roca,,Agosto 2013,2013-08
"POINT (-58.445897537114 -34.6727014087602)","74",Parque Roca,ROCA CNEL AV,,Entre Escalada y Lacarra,91 - 115,91 - 115,Metrobus Sur - Ramal Coronel Roca,Parque Roca,,Agosto 2013,2013-08
"POINT (-58.4406620777219 -34.6666823644819)","75",Mariano Acosta,ROCA CNEL AV,,Entre Pergamino y Mariano Acosta,91 - 115,91 - 115,Metrobus Sur - Ramal Coronel Roca,Mariano Acosta,,Agosto 2013,2013-08
